Order ID , Order Item ID , Order YearMonth , Order Year , Order Month , Order Day ,Order Time,Order Quantity,Product Department,Product Category,Product Name, Customer ID ,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Year,Shipment Month,Shipment Day,Shipment Mode, Shipment Days - Scheduled , Gross Sales , Discount % , Profit 
41615,103884,201608,2016,8,30,11:14,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,8074,Pacific Asia,West Asia,Turkey,USA,2016,9,1,First Class,1,200,0.03,125
43841,109496,201610,2016,10,1,23:06,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1242,Europe,Eastern Europe,Ukraine,USA,2016,10,3,First Class,1,200,0.07,125
49381,123425,201612,2016,12,21,20:00,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5739,Pacific Asia,West Asia,Turkey,USA,2016,12,23,First Class,1,200,0.13,125
55883,139730,201703,2017,3,26,17:57,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,130,LATAM,Central America,Honduras,USA,2017,3,28,First Class,1,200,0.06,125
61386,153556,201706,2017,6,15,1:53,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10170,LATAM,South America,Brazil,USA,2017,6,17,First Class,1,200,0.1,125
63021,157576,201707,2017,7,8,22:42,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,7931,Europe,Northern Europe,Sweden,USA,2017,7,10,Second Class,2,200,0.13,125
65555,163841,201708,2017,8,14,22:29,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1293,Europe,Western Europe,France,USA,2017,8,16,First Class,1,200,0.2,125
67203,167961,201709,2017,9,7,23:51,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5539,Europe,Southern Europe,Italy,USA,2017,9,11,Second Class,2,200,0.12,125
51568,128862,201701,2017,1,22,18:13,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3105,LATAM,Central America,El Salvador,Puerto Rico,2017,1,26,Standard Class,4,200,0.05,125
11856,29642,201506,2015,6,23,1:20,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1605,Europe,Southern Europe,Italy,USA,2015,6,25,Standard Class,4,200,0.06,125
19058,47638,201510,2015,10,6,4:30,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11830,Europe,Western Europe,France,USA,2015,10,10,Standard Class,4,200,  -  ,125
19633,49083,201510,2015,10,14,13:57,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10772,Europe,Southern Europe,Italy,USA,2015,10,18,Standard Class,4,200,0.09,125
23908,59842,201512,2015,12,15,23:41,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11599,Pacific Asia,Southeast Asia,Indonesia,USA,2015,12,19,Standard Class,4,200,0.13,125
23925,59882,201512,2015,12,16,5:38,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11998,Pacific Asia,Oceania,Australia,USA,2015,12,22,Standard Class,4,200,0.07,125
27918,69865,201602,2016,2,12,12:34,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11286,Pacific Asia,Eastern Asia,China,USA,2016,2,16,Standard Class,4,200,0.02,125
27956,69963,201602,2016,2,13,1:52,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4190,Pacific Asia,Oceania,Australia,USA,2016,2,15,Standard Class,4,200,0.2,125
35306,88176,201605,2016,5,30,8:54,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1761,North America,West of USA,USA,USA,2016,6,1,Standard Class,4,200,0.16,125
35943,89766,201606,2016,6,8,16:05,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2210,North America,South of  USA,USA,USA,2016,6,12,Standard Class,4,200,0.06,125
41071,102527,201608,2016,8,22,12:39,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,45,North America,US Center,USA,USA,2016,8,24,Standard Class,4,200,0.16,125
45283,113145,201610,2016,10,23,0:18,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5756,Pacific Asia,West Asia,Turkey,USA,2016,10,27,Standard Class,4,200,0.06,125
47248,118108,201611,2016,11,20,16:43,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10432,Africa,East Africa,Zambia,USA,2016,11,24,Standard Class,4,200,0.09,125
47905,119804,201611,2016,11,30,6:54,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11263,Africa,Central Africa,Democratic Republic of Congo,USA,2016,12,6,Standard Class,4,200,0.2,125
49036,122606,201612,2016,12,16,19:08,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5369,Africa,West Africa,Nigeria,USA,2016,12,18,Standard Class,4,200,0.07,125
49888,124740,201612,2016,12,29,5:38,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6897,Pacific Asia,West Asia,Turkey,USA,2017,1,2,Standard Class,4,200,0.17,125
51238,128040,201701,2017,1,17,22:36,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11475,Africa,East Africa,Zambia,USA,2017,1,21,Standard Class,4,200,0.1,125
51238,128039,201701,2017,1,17,22:36,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11475,Africa,East Africa,Zambia,USA,2017,1,21,Standard Class,4,200,0.12,125
53623,134039,201702,2017,2,21,18:10,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,474,LATAM,Caribbean,Trinidad and Tobago,USA,2017,2,25,Standard Class,4,200,0.09,125
55578,139014,201703,2017,3,22,7:05,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5521,LATAM,South America,Per�,USA,2017,3,26,Standard Class,4,200,0.06,125
59258,148319,201705,2017,5,15,0:21,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1978,LATAM,South America,Brazil,USA,2017,5,19,Standard Class,4,200,0.15,125
59828,149748,201705,2017,5,23,8:03,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9104,LATAM,Caribbean,Haiti,USA,2017,5,27,Standard Class,4,200,0.09,125
65578,163893,201708,2017,8,15,6:32,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12330,Europe,Western Europe,France,USA,2017,8,19,Standard Class,4,200,0.15,125
65675,164131,201708,2017,8,16,16:31,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1926,Europe,Western Europe,France,USA,2017,8,22,Standard Class,4,200,0.09,125
67056,167631,201709,2017,9,5,20:21,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4491,Europe,Southern Europe,Italy,USA,2017,9,7,Standard Class,4,200,0.18,125
67973,169928,201709,2017,9,19,5:37,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1426,Europe,Northern Europe,United Kingdom,USA,2017,9,23,Standard Class,4,200,0.06,125
5135,12832,201503,2015,3,16,22:40,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10791,LATAM,Central America,Mexico,USA,2015,3,22,Second Class,2,200,0.02,125
7303,18289,201504,2015,4,17,14:12,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3313,LATAM,Central America,Mexico,USA,2015,4,21,Second Class,2,200,0.13,125
17843,44578,201509,2015,9,18,10:50,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5003,Europe,Northern Europe,Ireland,USA,2015,9,18,Same Day,3,200,0.25,125
19916,49788,201510,2015,10,18,17:06,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6285,Europe,Southern Europe,Spain,USA,2015,10,19,Same Day,3,200,0.12,125
21325,53322,201511,2015,11,8,6:44,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2470,Pacific Asia,Southeast Asia,Indonesia,USA,2015,11,14,Second Class,2,200,0.25,125
25945,64945,201601,2016,1,14,17:20,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,8181,Pacific Asia,Oceania,Australia,USA,2016,1,20,Second Class,2,200,0.09,125
27845,69705,201602,2016,2,11,10:59,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1839,Pacific Asia,Southeast Asia,Indonesia,USA,2016,2,11,Same Day,3,200,0.06,125
39936,99634,201608,2016,8,5,23:00,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2944,North America,South of  USA,USA,USA,2016,8,6,Same Day,3,200,0.03,125
43243,108021,201609,2016,9,23,5:35,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5657,Africa,Southern Africa,South Africa,USA,2016,9,27,Second Class,2,200,0.18,125
63903,159739,201707,2017,7,21,19:43,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,964,Europe,Northern Europe,Ireland,USA,2017,7,22,Same Day,3,200,0.05,125
9986,24947,201505,2015,5,26,18:11,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11028,LATAM,Central America,Mexico,USA,2015,5,28,First Class,1,200,0.05,125
11996,29968,201506,2015,6,25,2:22,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3355,Europe,Northern Europe,United Kingdom,USA,2015,6,27,Second Class,2,200,0.2,125
13366,33481,201507,2015,7,15,2:21,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3413,Europe,Southern Europe,Spain,USA,2015,7,17,Second Class,2,200,0.17,125
19268,48171,201510,2015,10,9,6:05,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12180,Europe,Western Europe,France,USA,2015,10,11,First Class,1,200,0.02,125
19941,49845,201510,2015,10,19,1:52,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3259,Europe,Northern Europe,United Kingdom,USA,2015,10,21,First Class,1,200,0.07,125
25963,64990,201601,2016,1,14,23:38,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11546,Pacific Asia,Southeast Asia,Indonesia,USA,2016,1,16,First Class,1,200,0.07,125
35226,87978,201605,2016,5,29,4:53,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9200,North America,US Center,USA,USA,2016,5,31,First Class,1,200,0.25,125
53041,132562,201702,2017,2,13,6:16,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6107,LATAM,South America,Brazil,USA,2017,2,15,Second Class,2,200,  -  ,125
57246,143198,201704,2017,4,15,15:28,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11606,LATAM,Central America,Mexico,USA,2017,4,17,Second Class,2,200,0.1,125
59371,148633,201705,2017,5,16,15:57,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5652,LATAM,South America,Argentina,USA,2017,5,18,First Class,1,200,0.04,125
59591,149154,201705,2017,5,19,21:01,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4035,LATAM,Central America,Guatemala,USA,2017,5,21,First Class,1,200,0.06,125
59626,149232,201705,2017,5,20,9:17,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9736,LATAM,Central America,Guatemala,USA,2017,5,22,First Class,1,200,  -  ,125
67216,167991,201709,2017,9,8,4:24,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9058,Europe,Southern Europe,Spain,USA,2017,9,10,Second Class,2,200,0.09,125
5983,14891,201503,2015,3,29,7:45,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,8966,LATAM,Central America,Honduras,USA,2015,4,2,Standard Class,4,200,0.01,125
5983,14890,201503,2015,3,29,7:45,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,8966,LATAM,Central America,Honduras,USA,2015,4,2,Standard Class,4,200,0.02,125
11561,28909,201506,2015,6,18,17:58,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,534,Europe,Northern Europe,United Kingdom,USA,2015,6,20,Standard Class,4,200,0.04,125
17833,44553,201509,2015,9,18,7:20,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5140,Europe,Western Europe,France,USA,2015,9,22,Standard Class,4,200,0.03,125
19051,47624,201510,2015,10,6,2:03,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11570,Europe,Southern Europe,Spain,USA,2015,10,8,Standard Class,4,200,0.01,125
19265,48164,201510,2015,10,9,5:02,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5345,Europe,Northern Europe,Ireland,USA,2015,10,15,Standard Class,4,200,0.03,125
29225,73099,201603,2016,3,2,14:28,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4522,Pacific Asia,South Asia,India,USA,2016,3,8,Standard Class,4,200,0.15,125
41063,102503,201608,2016,8,22,9:50,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12118,North America,East of USA,USA,USA,2016,8,26,Standard Class,4,200,0.18,125
413,1024,201501,2015,1,7,0:20,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,7278,LATAM,South America,Uruguay,USA,2015,1,11,Standard Class,4,200,0.17,125
1765,4391,201501,2015,1,26,18:00,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6897,LATAM,South America,Brazil,USA,2015,2,1,Standard Class,4,200,0.09,125
11531,28833,201506,2015,6,18,7:28,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,453,Europe,Western Europe,France,USA,2015,6,20,Standard Class,4,200,0.06,125
13248,33148,201507,2015,7,13,9:00,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,596,Europe,Western Europe,France,USA,2015,7,17,Standard Class,4,200,0.09,125
19348,48373,201510,2015,10,10,10:06,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6271,Europe,Western Europe,France,USA,2015,10,14,Standard Class,4,200,0.18,125
23878,59766,201512,2015,12,15,13:10,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,8977,Pacific Asia,Oceania,Australia,USA,2015,12,19,Standard Class,4,200,0.16,125
31646,79082,201604,2016,4,6,22:39,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3457,North America,East of USA,USA,USA,2016,4,8,Standard Class,4,200,0.06,125
35076,87598,201605,2016,5,27,0:20,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2752,North America,East of USA,USA,USA,2016,5,29,Standard Class,4,200,0.07,125
45061,112508,201610,2016,10,19,18:31,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3242,Pacific Asia,South Asia,Iran,USA,2016,10,21,Standard Class,4,200,0.02,125
47893,119771,201611,2016,11,30,2:42,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6241,Africa,Central Africa,Angola,USA,2016,12,4,Standard Class,4,200,0.25,125
59265,148344,201705,2017,5,15,2:49,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,990,LATAM,Central America,Mexico,USA,2017,5,21,Standard Class,4,200,0.13,125
61238,153178,201706,2017,6,12,22:02,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2831,LATAM,Central America,Mexico,USA,2017,6,16,Standard Class,4,200,  -  ,125
11521,28813,201506,2015,6,18,3:58,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4131,Europe,Western Europe,France,Puerto Rico,2015,6,20,Standard Class,4,200,0.07,125
39293,98102,201607,2016,7,27,13:44,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,8914,North America,West of USA,USA,Puerto Rico,2016,7,31,Standard Class,4,200,0.01,125
278,698,201501,2015,1,5,1:02,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,488,LATAM,Central America,El Salvador,USA,2015,1,9,Standard Class,4,200,0.01,125
1735,4328,201501,2015,1,26,7:29,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11656,LATAM,Central America,Nicaragua,USA,2015,2,1,Standard Class,4,200,0.1,125
3761,9347,201502,2015,2,24,21:17,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3468,LATAM,Central America,El Salvador,USA,2015,2,26,Standard Class,4,200,0.09,125
5781,14395,201503,2015,3,26,8:59,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11238,LATAM,Central America,Nicaragua,USA,2015,3,28,Standard Class,4,200,0.18,125
5951,14812,201503,2015,3,28,20:33,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6103,LATAM,Central America,Mexico,USA,2015,3,30,Standard Class,4,200,0.06,125
13521,33887,201507,2015,7,17,8:39,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3916,Europe,Western Europe,Austria,USA,2015,7,19,Standard Class,4,200,0.01,125
13871,34737,201507,2015,7,22,11:16,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11967,Europe,Northern Europe,United Kingdom,USA,2015,7,24,Standard Class,4,200,  -  ,125
17395,43473,201509,2015,9,11,21:53,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9171,Europe,Western Europe,France,USA,2015,9,17,Standard Class,4,200,0.09,125
19966,49914,201510,2015,10,19,10:37,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,31,Europe,Western Europe,Switzerland,USA,2015,10,21,Standard Class,4,200,0.06,125
25076,62842,201601,2016,1,2,0:53,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11221,Pacific Asia,Eastern Asia,China,USA,2016,1,4,Standard Class,4,200,0.1,125
29961,74926,201603,2016,3,13,8:19,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,7612,Pacific Asia,Eastern Asia,China,USA,2016,3,15,Standard Class,4,200,0.04,125
31221,78030,201603,2016,3,31,17:45,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3912,Pacific Asia,Oceania,New zealand,USA,2016,4,2,Standard Class,4,200,0.06,125
35396,88404,201605,2016,5,31,16:26,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9182,North America,US Center,USA,USA,2016,6,2,Standard Class,4,200,0.04,125
37081,92515,201606,2016,6,25,6:46,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6033,North America,West of USA,USA,USA,2016,6,27,Standard Class,4,200,0.04,125
41863,104500,201609,2016,9,3,2:07,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5440,Pacific Asia,Central Asia,Kazakhstan,USA,2016,9,7,Standard Class,4,200,0.04,125
43048,107537,201609,2016,9,20,9:16,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12201,North America,Canada,Canada,USA,2016,9,24,Standard Class,4,200,0.1,125
43551,108766,201609,2016,9,27,17:30,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1191,Europe,Eastern Europe,Ukraine,USA,2016,9,29,Standard Class,4,200,0.12,125
55508,138818,201703,2017,3,21,6:34,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,691,LATAM,Central America,Honduras,USA,2017,3,25,Standard Class,4,200,0.16,125
61888,154698,201706,2017,6,22,9:46,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5687,Europe,Northern Europe,United Kingdom,USA,2017,6,26,Standard Class,4,200,0.03,125
63998,160002,201707,2017,7,23,4:59,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4897,Europe,Northern Europe,United Kingdom,USA,2017,7,27,Standard Class,4,200,  -  ,125
67825,169572,201709,2017,9,17,1:46,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,300,Europe,Western Europe,Netherlands,USA,2017,9,23,Standard Class,4,200,0.15,125
3568,8878,201502,2015,2,22,1:40,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9898,LATAM,Central America,Honduras,USA,2015,2,26,Standard Class,4,250,0.25,125
3995,9924,201502,2015,2,28,7:16,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,7332,LATAM,Caribbean,Cuba,USA,2015,3,6,Standard Class,4,250,0.01,125
3996,9928,201502,2015,2,28,7:37,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1761,LATAM,Caribbean,Cuba,USA,2015,3,2,Standard Class,4,250,  -  ,125
7765,19416,201504,2015,4,24,8:04,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,12248,LATAM,Central America,Mexico,USA,2015,4,30,Standard Class,4,250,0.05,125
8761,21862,201505,2015,5,8,21:01,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9147,LATAM,South America,Brazil,USA,2015,5,10,Standard Class,4,250,0.03,125
9506,23762,201505,2015,5,19,18:01,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,1607,LATAM,Caribbean,Cuba,USA,2015,5,21,Standard Class,4,250,0.09,125
13091,32745,201507,2015,7,11,2:00,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11397,Europe,Northern Europe,United Kingdom,USA,2015,7,13,Standard Class,4,250,0.09,125
13351,33434,201507,2015,7,14,21:05,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2684,Europe,Northern Europe,United Kingdom,USA,2015,7,16,Standard Class,4,250,0.03,125
17381,43434,201509,2015,9,11,16:59,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6727,Europe,Western Europe,Germany,USA,2015,9,13,Standard Class,4,250,0.2,125
21335,53344,201511,2015,11,8,10:15,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3459,Pacific Asia,Oceania,Australia,USA,2015,11,14,Standard Class,4,250,0.17,125
25606,64149,201601,2016,1,9,18:34,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,4700,Pacific Asia,Southeast Asia,Philippines,USA,2016,1,11,Standard Class,4,250,0.01,125
25966,64993,201601,2016,1,15,0:41,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,206,Pacific Asia,Eastern Asia,China,USA,2016,1,17,Standard Class,4,250,0.15,125
35605,88910,201606,2016,6,3,17:40,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,10271,North America,West of USA,USA,USA,2016,6,9,Standard Class,4,250,0.01,125
41365,103254,201608,2016,8,26,19:39,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,6727,Africa,West Africa,Nigeria,USA,2016,9,1,Standard Class,4,250,0.09,125
43873,109573,201610,2016,10,2,10:18,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3330,Africa,West Africa,Nigeria,USA,2016,10,6,Standard Class,4,250,0.25,125
47351,118380,201611,2016,11,22,4:48,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11059,Africa,West Africa,Ben�n,USA,2016,11,24,Standard Class,4,250,0.02,125
47513,118783,201611,2016,11,24,13:34,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11868,Pacific Asia,West Asia,Yemen,USA,2016,11,28,Standard Class,4,250,0.1,125
49601,123974,201612,2016,12,25,1:05,5,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11562,North America,Canada,Canada,USA,2016,12,27,Standard Class,4,250,0.07,125
